GOME2_PK_SIF,GOME2_JJ_SIF,OCO2SIF,GOSIF,ELEVATION,BCCMASS,TA,RF,SW,VPD,Ndepo,LAI,longitude,latitude,Region,randomNum
3916,8036,78,105,1802,5911,29378,3607,15820,40,26822711,54,-76.8648367265553,-6.98771242968684,1,0.676132189632154
3397,7319,68,93,2346,6289,29321,2709,16105,46,25018152,49,-76.8648367265553,-7.54672942406179,1,0.553315950222207
2954,6712,59,81,3353,5142,28590,3180,15599,19,23320896,47,-76.8648367265553,-8.10574641843674,1,0.20278741286159
2547,6222,52,72,3197,4406,28221,2630,15999,19,22399355,41,-76.8648367265553,-8.66476341281169,1,0.986110441299634
1827,4997,45,60,3636,3699,28019,1660,17458,21,22118048,42,-76.8648367265553,-9.22378040718663,1,0.0284507313137886
4361,8114,83,102,72,8404,29879,2247,15308,47,55745969,51,-76.3058197321803,8.10574641843674,1,0.650583610072651
4085,7772,71,91,15,8049,29505,4609,13425,29,57190734,53,-76.3058197321803,7.54672942406179,1,0.0972269464337521
3630,7286,61,83,21,6591,29257,5548,12971,19,58221056,48,-76.3058197321803,6.98771242968684,1,0.382758610734048
3694,7319,59,80,91,6252,29142,8743,12760,18,57807919,46,-76.3058197321803,6.4286954353119,1,0.324331392252297
3541,7194,55,77,177,5970,29257,8890,12401,21,56430557,45,-76.3058197321803,5.86967844093695,1,0.0895851194405499
3692,7405,61,80,152,5973,29476,10245,11809,20,54953711,48,-76.3058197321803,5.310661446562,1,0.270708439334895
3502,7286,57,77,69,6075,29229,6179,11351,17,53845715,47,-76.3058197321803,4.75164445218705,1,0.897832889485474
3180,6968,46,74,61,6063,29187,6454,12178,20,50265046,44,-76.3058197321803,4.19262745781211,1,0.677032286042698
3424,7131,53,78,203,5585,29066,6940,14154,35,46659777,48,-76.3058197321803,3.63361046343716,1,0.498199280669477
2665,6042,43,63,877,5150,28803,4651,14571,31,44885121,41,-76.3058197321803,3.07459346906221,1,0.4607528035572
2593,6026,42,62,1516,4796,28512,3885,14645,19,41651048,43,-76.3058197321803,2.51557647468726,1,0.550775595269439
2481,5784,41,60,1352,4665,28800,2878,14622,20,38541428,42,-76.3058197321803,1.95655948031232,1,0.330676505767733
3235,6691,55,74,2003,5697,28997,5650,14539,21,36966712,49,-76.3058197321803,1.39754248593737,1,0.186522257015291
4153,7659,76,92,1775,7238,29772,3579,14166,37,33320434,57,-76.3058197321803,0.838525491562421,1,0.115151627919978
4215,7743,79,91,424,7911,29778,3570,13900,33,29077717,59,-76.3058197321803,0.279508497187474,1,0.585895010510377
4189,7704,80,93,329,7665,29792,3651,13798,33,26955088,59,-76.3058197321803,-0.279508497187474,1,0.364338513572969
4185,7750,81,95,319,7359,29772,3287,13741,33,23393843,59,-76.3058197321803,-0.838525491562421,1,0.0753281356492493
4027,7533,80,93,305,7065,29782,2989,13791,34,21413417,58,-76.3058197321803,-1.39754248593737,1,0.33060205074033
3976,7465,80,92,332,6864,29789,2805,13871,33,20583614,58,-76.3058197321803,-1.95655948031232,1,0.594124479910579
4022,7563,81,91,286,6591,29774,2850,13832,32,18970269,59,-76.3058197321803,-2.51557647468726,1,0.501841452184207
3870,7377,79,90,249,6538,29784,2915,13771,32,18632990,58,-76.3058197321803,-3.07459346906221,1,0.78129963837497
3920,7355,79,90,221,6568,29813,2994,13886,32,18898360,58,-76.3058197321803,-3.63361046343716,1,0.82339584209058
3886,7295,76,88,165,6647,29822,2968,13989,32,19328020,58,-76.3058197321803,-4.19262745781211,1,0.897216418338068
3771,7133,73,85,149,6787,29861,2772,14588,36,20168187,57,-76.3058197321803,-4.75164445218705,1,0.569580707033678
3986,7699,80,94,166,6955,29848,2779,14904,40,21385782,58,-76.3058197321803,-5.310661446562,1,0.0399968856692544
4098,8017,82,100,823,7041,29835,2466,14902,46,23365227,59,-76.3058197321803,-5.86967844093695,1,0.957486531598375
4015,8119,80,99,1466,6994,29641,2292,15471,37,24942355,54,-76.3058197321803,-6.4286954353119,1,0.89938936967755
4177,8416,85,104,1139,6928,29668,2352,15666,37,25045073,54,-76.3058197321803,-6.98771242968684,1,0.152342167621504
4148,8354,82,105,752,6781,29576,2830,15498,35,24939615,54,-76.3058197321803,-7.54672942406179,1,0.666174099211101
3724,7849,75,98,2081,6231,29384,3976,14626,32,24837927,52,-76.3058197321803,-8.10574641843674,1,0.0576714482003525
3030,6846,60,79,3281,5771,29445,2840,14472,47,24801832,45,-76.3058197321803,-8.66476341281169,1,0.868069138648368
2701,6349,56,73,3544,5332,28893,2101,15474,29,24779310,43,-76.3058197321803,-9.22378040718663,1,0.568297021272556
2394,6341,52,73,4164,4556,28398,1886,16261,20,24766585,39,-76.3058197321803,-9.78279740156158,1,0.310964173911133
4285,7958,77,95,181,9161,29940,2405,15060,54,57282887,55,-75.7468027378054,8.10574641843674,1,0.103373281611826
4066,7794,70,90,349,8874,29389,3743,13927,31,59479890,53,-75.7468027378054,7.54672942406179,1,0.0531933896186625
2946,6807,62,79,1419,6079,29076,3888,14281,20,61207448,53,-75.7468027378054,6.98771242968684,1,0.970070182053923
