site,igbp,ecoregion,YY,DoY,TA,SW,RF,mat,mar,BIO,randomNum
113,7,11,2020,135,-3.53932345920136,230.039076646091,0.758991009205675,-10.9488534689357,1.22932897043873,1.019987,2410
113,7,11,2020,183,11.1776186116537,254.967258230453,0.955915678102336,-10.9488534689357,1.22932897043873,0.6084347,5636
113,7,11,2020,231,11.9973327636719,175.4822968107,2.5778964561554,-10.9488534689357,1.22932897043873,-0.3450652,3048
113,7,11,2020,255,0.907651570638044,60.7187397119341,2.19271412070173,-10.9488534689357,1.22932897043873,-0.6464247,1939
113,7,11,2020,279,-2.06457763671873,33.9529595284796,2.97277808078836,-10.9488534689357,1.22932897043873,-0.1822727,4365
113,7,11,2020,303,-10.3173198106554,13.948024691358,1.02630059492155,-10.9488534689357,1.22932897043873,-0.3759332,915
113,7,11,2020,327,-15.4052201334635,0.512345679012345,0.764061772835945,-10.9488534689357,1.22932897043873,-0.4980057,2848
113,7,11,2020,351,-30.2171924506293,0,0.738098906384387,-10.9488534689357,1.22932897043873,0.1671097,1529
113,7,11,2021,9,-23.4433348253038,0,0.494145111291748,-10.9488534689357,1.22932897043873,0.1070691,3173
113,7,11,2021,33,-35.7397513156467,9.71600823045267,0.438395681640646,-10.9488534689357,1.22932897043873,-0.1343883,3403
113,7,11,2021,105,-8.20513271755639,194.658063271605,0.776547385121497,-10.9488534689357,1.22932897043873,0.2919493,1949
113,7,11,2021,153,1.70070515950523,209.103019547325,1.07120153536755,-10.9488534689357,1.22932897043873,0.3136446,5031
113,7,11,2021,201,13.0206393093533,198.589984567901,3.37978862508927,-10.9488534689357,1.22932897043873,0.8738723,4339
113,7,11,2021,225,2.84577365451391,110.800725308642,3.21513767663884,-10.9488534689357,1.22932897043873,0.1507457,3948
113,7,11,2021,249,4.55533735487198,64.3201813271605,2.68161656982869,-10.9488534689357,1.22932897043873,0.3499126,3521
113,7,11,2021,273,-5.61552137586803,60.1831347254372,1.65699160224975,-10.9488534689357,1.22932897043873,-0.1290915,3427
113,7,11,2021,297,-9.70381612141925,20.5759387860083,0.984658701529848,-10.9488534689357,1.22932897043873,0.264473,3317
113,7,11,2021,321,-21.7429797363281,1.82286008230453,0.873325580237208,-10.9488534689357,1.22932897043873,0.1560789,4558
114,7,11,2019,308,-22.7039683702257,14.5168055555555,0.584680671875279,-12.1678562066494,0.882768750789215,0.6174512,2255
114,7,11,2019,332,-17.197931789822,0.292973251028807,0.845825938634803,-12.1678562066494,0.882768750789215,-0.1141903,4294
114,7,11,2019,356,-36.7888210720486,0,0.620653588663595,-12.1678562066494,0.882768750789215,-0.2366446,5644
114,7,11,2020,15,-33.4490097384983,0.688816872427984,0.333021843213769,-12.1678562066494,0.882768750789215,-0.4475384,5589
114,7,11,2020,39,-27.3873660617404,16.2451646090535,0.460984251113066,-12.1678562066494,0.882768750789215,-0.3672739,1829
114,7,11,2020,63,-35.1760422092014,74.4994986307278,0.591723666258116,-12.1678562066494,0.882768750789215,0.2913187,236
114,7,11,2020,87,-21.8240703667534,159.852150205761,0.33069351740679,-12.1678562066494,0.882768750789215,0.3307839,4749
114,7,11,2020,111,-5.09189025878904,205.071754115226,0.698019477279471,-12.1678562066494,0.882768750789215,0.7013475,922
114,7,11,2020,135,1.07861056857641,289.75117026749,0.447075958671034,-12.1678562066494,0.882768750789215,0.7001145,439
114,7,11,2020,183,10.4631307644314,292.214814814815,2.74761859023662,-12.1678562066494,0.882768750789215,0.9869079,1601
114,7,11,2020,231,11.1629577636719,176.67908436214,1.778923365647,-12.1678562066494,0.882768750789215,-0.09784747,4764
114,7,11,2020,255,2.62932691786027,95.6927211934157,1.64553603108305,-12.1678562066494,0.882768750789215,-0.1406548,4574
114,7,11,2020,279,-1.57425645616317,43.0963057218952,1.83323982773346,-12.1678562066494,0.882768750789215,0.3811795,4473
114,7,11,2020,303,-18.2087347412109,19.9577829218107,0.27157211988381,-12.1678562066494,0.882768750789215,-0.07752825,3957
114,7,11,2020,327,-21.9343173556857,1.28588477366255,0.393387061019493,-12.1678562066494,0.882768750789215,0.4338803,2151
114,7,11,2020,351,-29.1585726589626,0,0.553197847710528,-12.1678562066494,0.882768750789215,0.1671097,3178
114,7,11,2021,9,-20.7006525336371,0.063179012345679,0.376391314574049,-12.1678562066494,0.882768750789215,0.03645207,5283
114,7,11,2021,33,-34.8838398573133,12.3560956790123,0.321554361911346,-12.1678562066494,0.882768750789215,0.06263048,4423
114,7,11,2021,105,-7.86983757866751,205.80574845679,0.449159670034279,-12.1678562066494,0.882768750789215,0.2919493,251
114,7,11,2021,153,5.29382147894968,264.998667695473,1.61622070969091,-12.1678562066494,0.882768750789215,-0.027176,3730
114,7,11,2021,201,16.3542938232422,253.745411522634,0.997048246709444,-12.1678562066494,0.882768750789215,0.6564052,5000
114,7,11,2021,225,6.80290039062502,129.391679526749,1.17446353366107,-12.1678562066494,0.882768750789215,0.2824149,3523
114,7,11,2021,249,6.16886166042754,96.3534194958847,1.48287271632979,-12.1678562066494,0.882768750789215,-0.570912,4322
114,7,11,2021,273,-5.68770019531248,72.7316969682356,1.31990345036006,-12.1678562066494,0.882768750789215,0.2674118,1802
114,7,11,2021,297,-8.17203660753035,20.7830195473251,0.934717459788668,-12.1678562066494,0.882768750789215,-0.4305167,4356
114,7,11,2021,321,-28.5091168891059,3.35546810699588,0.801810086704017,-12.1678562066494,0.882768750789215,0.1560789,5116
116,10,11,2019,308,-14.3369023980035,9.17080504115226,1.05347207957262,-13.3927655616173,0.896059076077577,-0.6828673,1897
116,10,11,2019,332,-18.5045637342665,0.101183127572016,0.601434623511189,-13.3927655616173,0.896059076077577,0.4197218,4170
