GOME2_PK_SIF,GOME2_JJ_SIF,OCO2SIF,GOSIF,ELEVATION,BCCMASS,BCdepo,TA,RF,SM,SW,VPD,Ndepo,soilClayContent,soilWaterContent,soilPH,soilBulkDensity,soilTaxa,LAI,longitude,latitude,indRows,indCols,Region,randomNum
2701,6349,56,73,3544,5332,2512,28893,2101,435,15474,29,3000,4937,5253,8976,261,24779310,43,-76.3058197321803,-9.22378040718663,53,186,1,0.995373810346204
2394,6341,52,73,4164,4556,1659,28398,1886,433,16261,20,2866,5150,5400,7950,261,24766585,39,-76.3058197321803,-9.78279740156158,54,186,1,0.64975098275464
4285,7958,77,95,181,9161,1790,29940,2405,534,15060,54,3275,4650,5450,10975,389,57282887,55,-75.7468027378054,8.10574641843674,22,187,1,0.703952831044269
4066,7794,70,90,349,8874,4434,29389,3743,565,13927,31,3253,4632,5093,10517,340,59479890,53,-75.7468027378054,7.54672942406179,23,187,1,0.932303197968757
2946,6807,62,79,1419,6079,5459,29076,3888,524,14281,20,3260,5020,5200,9160,264,61207448,53,-75.7468027378054,6.98771242968684,24,187,1,0.687652548069517
2883,6373,48,60,1860,6210,5261,29186,2961,490,15154,36,2914,5000,5300,8042,264,60004058,42,-75.7468027378054,5.86967844093695,26,187,1,0.568353918669942
3212,6930,59,73,1456,6388,4239,28955,5538,493,13901,20,3081,5081,5259,8627,264,58882582,47,-75.7468027378054,5.310661446562,27,187,1,0.380847529289527
3072,6558,51,70,1377,5923,4270,29200,7719,502,13342,21,2580,5220,5380,7710,261,57761210,37,-75.7468027378054,4.75164445218705,28,187,1,0.634579484810422
2927,6446,58,71,1235,5490,4141,28946,7372,501,14516,24,2611,5177,5311,7322,261,53495544,38,-75.7468027378054,4.19262745781211,29,187,1,0.363228621093965
2723,6163,52,69,2150,5721,4141,28699,1965,426,15175,43,2603,4878,5446,8071,261,49185968,46,-75.7468027378054,3.63361046343716,30,187,1,0.407619444945905
