GPP_cedar,GPP_fluxsat,GPP_zhang,GPP_MOD17A3HGF,GOME2_PK_SIF,GOME2_JJ_SIF,OCO2SIF,GOSIF,SIFOCO2,ELEVATION,BCCMASS,BCdepo,TA,RF,SM,SW,VPD,soilClayContent,soilWaterContent,soilPH,soilBulkDensity,soilTaxa,Ndepo,LAI,BIOMASS,longitude,latitude,indRows,indCols,Region,randomNum
6.59,7.58,6.24657534246575,7.15068493150685,0.3296,0.6811,0.275,0.284,0.225,1913,5320,3102,28489,3425,496,15230,16,2481,4813,5576,8365,261,33473824,49,23283,-77.9828707153052,-0.279508497187474,37,183,1,0.600057239807837
7.03,7.24,6.54794520547945,7.58904109589041,0.3528,0.6966,0.29,0.304,0.249,3420,5683,3299,29298,3749,490,14435,35,2766,4754,5391,8856,261,30415195,51,23648,-77.9828707153052,-0.838525491562421,38,183,1,0.200173658860432
7.3,7.01,6.65753424657534,8,0.3616,0.7035,0.3,0.324,0.28,3355,6160,2697,29416,3092,497,14600,36,2965,4859,5261,9373,375,27484949,52,23866,-77.9828707153052,-1.39754248593737,39,183,1,0.137401018724244
7.58,7.2,7.12328767123288,8.16438356164384,0.3681,0.7244,0.315,0.344,0.306,3485,6408,2697,29378,4050,526,13767,30,3077,4793,5217,9808,264,26034257,53,24685,-77.9828707153052,-1.95655948031232,40,183,1,0.0237890286343844
7.9,8.38,7.80821917808219,8.02739726027397,0.3739,0.7386,0.345,0.372,0.337,3323,6392,2068,29484,4648,557,13314,32,3115,4696,5218,10542,264,23193976,54,26051,-77.9828707153052,-2.51557647468726,41,183,1,0.939542698220884
8.11,8.44,7.80821917808219,7.78082191780822,0.3801,0.7452,0.37,0.38,0.347,2704,6534,2093,29660,3009,553,13857,36,3126,4538,5125,11165,402,22293546,54,27578,-77.9828707153052,-3.07459346906221,42,183,1,0.695501323790041
8.24,8.7,7.97260273972603,7.56164383561644,0.3935,0.7714,0.385,0.392,0.353,1870,6530,2322,29679,2713,548,14770,42,3122,4427,4996,11393,402,22138144,54,27970,-77.9828707153052,-3.63361046343716,43,183,1,0.554233183009153
8.24,8.86,8.24657534246575,7.83561643835616,0.3986,0.7808,0.395,0.4,0.362,1321,6540,1794,29726,3144,548,14983,38,2976,4369,4980,11164,402,21834114,55,27567,-77.9828707153052,-4.19262745781211,44,183,1,0.295414289119064
8.43,8.93,8.54794520547945,8.10958904109589,0.4197,0.8112,0.425,0.432,0.389,1348,6573,2157,29562,3207,556,15015,34,3137,4305,5013,11330,402,22808152,54,27595,-77.9828707153052,-4.75164445218705,45,183,1,0.0426317475056841
7.89,8.42,7.86301369863014,7.83561643835616,0.3549,0.7371,0.345,0.356,0.316,1415,6275,3444,29209,2974,557,14898,24,3186,4715,5190,9789,340,24063802,52,26175,-77.9828707153052,-5.310661446562,46,183,1,0.853760208334462
7.37,6.77,6.95890410958904,7.83561643835616,0.2781,0.6425,0.285,0.316,0.284,860,5336,1562,28781,2996,515,14969,17,3114,5259,5463,7806,264,26587567,48,25151,-77.9828707153052,-5.86967844093695,47,183,1,0.596682100841419
6.9,5.6,6.54794520547945,8.43835616438356,0.2497,0.6016,0.29,0.304,0.27,2347,4560,1327,28573,2116,489,15818,29,2975,5075,5475,7750,264,27962804,49,28275,-77.9828707153052,-6.4286954353119,48,183,1,0.0185267796429373
6.84,5.43,6.6027397260274,8.35616438356164,0.2476,0.5958,0.295,0.312,0.269,3238,4335,1679,28561,2198,440,16475,32,2900,4700,5550,8250,261,26631788,46,27950,-77.9828707153052,-6.98771242968684,49,183,1,0.93319096187148
7.76,8.24,6.87671232876712,6.68493150684932,0.3893,0.7538,0.395,0.38,0.365,181,6780,1372,29775,3020,532,13165,36,3373,4194,5237,11692,375,19209196,51,26075,-77.4238537209302,8.66476341281169,21,184,1,0.00978832426687193
8.16,8.28,6.87671232876712,6.68493150684932,0.3988,0.7728,0.42,0.4,0.375,75,6608,1554,29684,3647,519,13622,30,3231,4213,5206,11701,402,46322468,55,26058,-77.4238537209302,8.10574641843674,22,184,1,0.640955539628156
8.21,8.74,6.73972602739726,6.54794520547945,0.4118,0.7846,0.43,0.404,0.386,507,6559,1675,29762,3788,554,13231,36,3231,4089,5226,11579,389,45293040,57,25473,-77.4238537209302,7.54672942406179,23,184,1,0.788685383549152
7.64,8.02,6.10958904109589,6.27397260273973,0.3893,0.7569,0.375,0.368,0.353,335,6376,2079,29760,5114,551,12661,30,3393,4098,5236,11154,261,21113676,52,25704,-77.4238537209302,6.98771242968684,24,184,1,0.52650294423104
6.98,8.08,5.56164383561644,6.02739726027397,0.3718,0.7375,0.305,0.34,0.28,0,6148,2171,29741,7218,543,9334,30,3381,4623,5187,10350,261,19487407,44,22611,-77.4238537209302,6.4286954353119,25,184,1,0.291248417281234
6.81,7.87,5.72602739726027,6.16438356164384,0.3952,0.774,0.33,0.352,0.334,0,5942,1943,29764,6810,583,8243,30,3368,4516,5266,10272,261,14591295,46,23041,-77.4238537209302,5.86967844093695,26,184,1,0.628328540883956
