BA,DEMmean,NDVImean,SLOPEmean,rain_1months_mm,rain_3months_mm,tempMean_1M,temp_fire_C,windSpeedMax,windSpeedMean,temp_fire_C_2InitDays,windSpeedMax_2InitDays,windSpeedMean_2InitDays,duration,durationLog,random,Y
751,311.277404785156,3656,0.156848594546318,0.00178578859322442,0.0607784397993321,23.9683852089777,25.1296244091458,3.00091916079093,2.51743207830381,27.0550425211589,2.78476995910011,2.4025424277666,3,1.38629436111989,0.000959362768403915,5.23511129064424
966,899.250122070312,1721,0.601141214370728,0.122159250887609,0.318865694483865,0.0486477034432937,6.04013075395068,2.34043353067714,1.61389965138539,0.457105467054589,2.08064022558227,1.61193864659422,8,2.19722457733622,0.0250468909413756,4.6759392568763
558,629.562255859375,6780,0.620564341545105,0.0432948510481204,0.160569812662061,19.6412059496808,19.5722284589496,2.80684360227179,1.34271356336682,14.6856533050537,2.80684360227179,1.9164308754958,11,2.484906649788,0.60458446761604,3.83945231259331
708,242.229202270508,3301,0.340224415063858,0.0121891373343601,0.0930491322062963,23.5716537434567,22.0519468943278,2.26223980846772,1.53811650541142,20.1771827697754,2.07555131175491,1.39292828981276,5,1.79175946922805,0.5390274698614,4.77068462446567
730,597.414733886719,4621.5,1.0817699432373,0.0134335832660035,0.115077404291963,23.1839593039618,26.9149618925871,3.57287263037675,2.1205273037284,25.703512234158,3.57287263037675,2.66073926442691,5.00004740740741,1.79176737043141,0.115848696385225,4.80127716371103
687,512.335876464844,5393.5,1.7194412946701,0.0147137417593477,0.169815024570479,18.4761261970766,23.9877806345622,1.76914616461186,1.00332655261351,22.1765020582411,1.76914616461186,1.09442507467384,7,2.07944154167984,0.0829674034418908,4.45289275054251
708,611.967529296875,6137.5,1.47279584407806,0.00866604511359981,0.0881644003152431,22.3910550025201,22.6068939671372,3.23780805546108,2.14236285444436,24.6206114451091,3.23780805546108,2.7614584160539,8,2.19722457733622,0.85852852728207,4.3652195163575
773,1322.65576171875,2038.5,2.79820513725281,0.11667286174427,0.31879010484997,2.10205343513081,2.85762042999272,1.91040157383644,1.22502178388295,2.58540369669601,1.7353057499176,1.16786206147266,7.00003555555556,2.0794459861144,0.716465072212787,4.57083306247302
537,350.723571777344,6472,0.458133906126022,0.00991292333070959,0.0898432742899224,22.2769466400147,24.9085696480491,3.14542506659388,2.08669142630546,24.3105460696751,2.96044773956642,2.39854043337695,8,2.19722457733622,0.882143154115175,4.08877351717264
923,108.915046691895,4902,0.250847280025482,0.013904412582022,0.0322201881524187,19.9373302541753,26.3007593427386,4.70456445160939,2.40227885800003,28.0150657653809,4.70456445160939,2.67223349892497,4,1.6094379124341,0.866515407844548,5.21819132206875
580,777.00732421875,4382.5,0.987977206707001,0.00188067132313563,0.0550298491233825,16.6359564887153,19.3320479287042,2.48590491127745,0.975554644836349,20.1793427361383,1.75108077085001,0.77643019370856,3,1.38629436111989,0.0140419286661614,4.97673374242057
601,906.055419921875,4174,1.1668426990509,0.00922050491649884,0.0305447154613887,21.646173895559,23.2722701679577,2.14581048441638,1.22661268131617,22.3540314992269,1.4215765715309,0.884292061950034,7.9999762962963,2.1972219435879,0.0179684131510621,4.20137299094731
816,501.263366699219,5006.5,0.624435245990753,0.00757735639619028,0.0634226410231271,22.5701809626754,24.706904912878,4.009535976811,2.34837302643726,22.7642027960884,4.009535976811,3.40013356735139,6,1.94591014905531,0.298589652002851,4.75850420590879
708,199.577117919922,5523,0.143222466111183,0.00586163992111821,0.0483322086714644,18.4619653066,21.2289968246069,7.33523681698218,4.00621261575678,19.658609644572,7.33523681698218,5.6428187461971,9.0000237037037,2.30258746336161,0.666097060369298,4.25985663033211
644,832.953430175781,4395.5,0.685582637786865,0.00593221933958787,0.0943262651563366,25.1490303251479,26.5752728780111,2.90144257689378,1.16198881149231,28.8999104393853,0.917624075597156,0.561784448902808,7.00003555555556,2.0794459861144,0.54067226623744,4.38825273998995
923,539.131408691406,4412,1.52724707126617,0.000674407064749971,0.0202881151119314,23.0741947215091,21.2602189805773,2.52789455643874,1.2085042387103,23.3515263027615,2.52789455643874,1.07480116487132,6,1.94591014905531,0.828998236657168,4.88171908544754
537,549.55419921875,2472.5,0.00252876570448279,0.00426063405726751,0.0465553784550572,24.8875471115112,26.7589186532157,2.47784083133266,1.97112438196831,23.1443240271674,2.31752658734546,1.83553789499926,4,1.6094379124341,0.0748337779300422,4.67656018207476
945,807.548400878906,5950.5,1.33595824241638,0.00101361921302257,0.051466202043553,25.152387278567,24.2650450187817,3.96817064040993,1.90459300166207,23.6664594438341,3.7740510688528,2.52180307121017,16,2.83321334405622,0.0518952899521007,4.01797158343753
558,696.610229492188,6750.5,0.614297389984131,0.0297569114396943,0.245283670362735,22.6481184272356,25.4393921707616,3.83714414168916,2.10525601974213,26.086203511556,2.46868360635152,1.98445792350641,8,2.19722457733622,0.034596541933251,4.12713438504509
880,1199.90551757812,6674.5,1.73823463916779,0.00250314542070385,0.128059262881223,19.576941098449,20.3506306966146,2.19194495435104,1.17353891727952,21.3719821929932,1.65908452591218,1.11690845894762,8,2.19722457733622,0.865535254565606,4.58269733013603
730,3.06595373153687,3592,0.0348584428429604,0.0265014182994818,0.0369355610658424,22.5632472356161,20.5012714154793,4.15723548819321,1.91202450164487,21.0914319780138,4.15723548819321,2.10437680240735,7.9999762962963,2.1972219435879,0.357489627299987,4.39582259055454
601,672.647277832031,2480,0.254216521978378,0.0141222835351051,0.0260769832009444,22.9267581283406,18.6451250871023,3.27119964988573,1.80629438218843,19.7010356479221,3.27119964988573,2.24925400020712,5,1.79175946922805,0.396333573008221,4.60683546530715
859,934.164367675781,3846.5,3.03069806098938,0.00204808082869334,0.0397439770394286,23.4495032197685,24.1897517204285,2.26794759486609,1.30168024803182,24.5565279218886,2.26794759486609,1.50103436006965,1,0.693147180559945,0.312001942354727,6.06262174142431
708,764.862670898438,3688,1.72151350975037,0.0111096662892187,0.128282917081265,23.8560807334052,27.1864937252469,1.82502449425867,0.993795788079864,25.2520771450467,1.26799064767673,0.921098364967265,12,2.56494935746154,0.58623163885255,3.99749473623218
945,969.084045410156,5805,0.715162694454193,0.0307656902494529,0.074645867501367,19.697273549726,19.5667717371231,2.43152174021857,0.942223634326171,19.8948888142904,1.1929156572969,0.71100831498904,10,2.39789527279837,0.353150639154397,4.45328965469537
966,364.802062988281,5552.5,1.05770993232727,0.00234511664551817,0.0199015774487989,25.2595979300879,24.4277487225003,3.67982461445038,2.30200953824888,28.4772044711643,3.67982461445038,2.01603764417376,3,1.38629436111989,0.176380395854731,5.48686947309263
