ID,Species,URL
31,Palmyra,"https://www.google.com/maps/@12.4370403,-16.619288,3a,34.7y,282.98h,100.9t/data=!3m7!1e1!3m5!1svbr36neo-reHrwAbMfnx4w!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-10.896058214342574%26panoid%3Dvbr36neo-reHrwAbMfnx4w%26yaw%3D282.9813960362132!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
32,Coconut,"https://www.google.com/maps/@4.9657326,-1.9814873,3a,90y,45.83h,106.98t/data=!3m7!1e1!3m5!1sEtpNCkGUakqQwvJXqvxRcA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-16.984499583210876%26panoid%3DEtpNCkGUakqQwvJXqvxRcA%26yaw%3D45.826970857684046!7i13312!8i6656?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
33,Coconut,"https://www.google.com/maps/@5.0226021,-2.4473016,3a,46.7y,50.62h,96.11t/data=!3m7!1e1!3m5!1sQZnroW2DKFubXxsSkSdDkg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-6.107844706099513%26panoid%3DQZnroW2DKFubXxsSkSdDkg%26yaw%3D50.61662677497317!7i13312!8i6656?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
34,Coconut,"https://www.google.com/maps/@5.0732946,-2.6668066,3a,46.9y,186.31h,87.33t/data=!3m7!1e1!3m5!1sPzrnc1qIq1LG9dug8RWtbw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D2.667475314113645%26panoid%3DPzrnc1qIq1LG9dug8RWtbw%26yaw%3D186.308516150837!7i13312!8i6656?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
35,Coconut,"https://www.google.com/maps/@5.0008491,-2.6534924,3a,48.9y,197.33h,99.1t/data=!3m7!1e1!3m5!1sb6Fnb7vsnHodPyykeMwwJg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-9.100358251664048%26panoid%3Db6Fnb7vsnHodPyykeMwwJg%26yaw%3D197.33128452845196!7i13312!8i6656?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
36,Coconut,"https://www.google.com/maps/@5.0042634,-2.6695649,3a,48.9y,144.56h,103.33t/data=!3m7!1e1!3m5!1sU2mSMCbNddRYjN-gvdFq5g!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-13.328951086962164%26panoid%3DU2mSMCbNddRYjN-gvdFq5g%26yaw%3D144.56257118289122!7i13312!8i6656?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
37,Coconut,"https://www.google.com/maps/@5.0082025,-2.6858537,3a,75y,176.19h,101.18t/data=!3m7!1e1!3m5!1sYif_D9QjU1648BpHhef91g!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-11.182299108767111%26panoid%3DYif_D9QjU1648BpHhef91g%26yaw%3D176.18845119911043!7i13312!8i6656?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
38,Coconut,"https://www.google.com/maps/@5.0092309,-2.6924075,3a,75y,133.58h,99.75t/data=!3m7!1e1!3m5!1s3h_PHo5_kDevIU9ekHq_Sw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-9.753906935995403%26panoid%3D3h_PHo5_kDevIU9ekHq_Sw%26yaw%3D133.57765957305492!7i13312!8i6656?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
39,Coconut,"https://www.google.com/maps/@5.0281534,-2.6968068,3a,75y,102.36h,105.23t/data=!3m7!1e1!3m5!1sGkLmN4yg-aI1BCVE1M5dng!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-15.229937926426956%26panoid%3DGkLmN4yg-aI1BCVE1M5dng%26yaw%3D102.36093087096353!7i13312!8i6656?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
40,Coconut,"https://www.google.com/maps/@5.0614594,-2.5078629,3a,41.2y,339.7h,100.24t/data=!3m7!1e1!3m5!1sSDWbjBYuRLl4bGLo6l5JSw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-10.236345839957394%26panoid%3DSDWbjBYuRLl4bGLo6l5JSw%26yaw%3D339.6975076360923!7i13312!8i6656?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
