GOME2_PK_SIF,GOME2_JJ_SIF,OCO2SIF,GOSIF,ELEVATION,BCCMASS,BCdepo,TA,RF,SW,VPD,Ndepo,LAI,longitude,latitude,indRows,indCols,Region,randomNum
4015,8119,80,99,1466,6994,1456,29641,2292,15471,37,24942355,54,-76.3058197321803,-6.4286954353119,48,186,1,0.708671064187825
4177,8416,85,104,1139,6928,1728,29668,2352,15666,37,25045073,54,-76.3058197321803,-6.98771242968684,49,186,1,0.234926443836988
4148,8354,82,105,752,6781,1728,29576,2830,15498,35,24939615,54,-76.3058197321803,-7.54672942406179,50,186,1,0.398895557719012
3724,7849,75,98,2081,6231,2312,29384,3976,14626,32,24837927,52,-76.3058197321803,-8.10574641843674,51,186,1,0.268124426906609
3030,6846,60,79,3281,5771,2649,29445,2840,14472,47,24801832,45,-76.3058197321803,-8.66476341281169,52,186,1,0.832513316595536
2701,6349,56,73,3544,5332,2512,28893,2101,15474,29,24779310,43,-76.3058197321803,-9.22378040718663,53,186,1,0.995373810346204
2394,6341,52,73,4164,4556,1659,28398,1886,16261,20,24766585,39,-76.3058197321803,-9.78279740156158,54,186,1,0.64975098275464
4285,7958,77,95,181,9161,1790,29940,2405,15060,54,57282887,55,-75.7468027378054,8.10574641843674,22,187,1,0.703952831044269
4066,7794,70,90,349,8874,4434,29389,3743,13927,31,59479890,53,-75.7468027378054,7.54672942406179,23,187,1,0.932303197968757
2946,6807,62,79,1419,6079,5459,29076,3888,14281,20,61207448,53,-75.7468027378054,6.98771242968684,24,187,1,0.687652548069517
2883,6373,48,60,1860,6210,5261,29186,2961,15154,36,60004058,42,-75.7468027378054,5.86967844093695,26,187,1,0.568353918669942
3212,6930,59,73,1456,6388,4239,28955,5538,13901,20,58882582,47,-75.7468027378054,5.310661446562,27,187,1,0.380847529289527
3072,6558,51,70,1377,5923,4270,29200,7719,13342,21,57761210,37,-75.7468027378054,4.75164445218705,28,187,1,0.634579484810422
2927,6446,58,71,1235,5490,4141,28946,7372,14516,24,53495544,38,-75.7468027378054,4.19262745781211,29,187,1,0.363228621093965
