YY,MM,DD,system_index,QC_500m,Range,SensorAzimuth,SensorZenith,SolarAzimuth,SolarZenith,date1,date_end,date_start,ecoregion,flux_data,flux_sitenames,gflags,granule_pnt,iobs_res,koeppen_geiger,landcover_igbp,num_observations_1km,num_observations_500m,obscov_500m,orbit_pnt,primary_veg_type,q_scan,secondary_veg_type,site_num,sitename,state_1km,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,wwf_biome,x_geo,Var38,Var39,,
2000,4,11,2000_04_11_0000000000000000014e,1610612736,30767,-7605,2438,16803,3632,11058,2019-01-13,2007-03-15,8,false,,0,2,0,Dfb,5,2,1,41,1,DB,15,EN,64,acadia,1041,2277,3281,2055,2281,3685,3457,1003,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,4,12,2000_04_12_0000000000000000014e,1073741824,44005,9520,5368,14660,3980,11059,2019-01-13,2007-03-15,8,false,,0,1,3,Dfb,5,8,2,14,0,DB,12,EN,64,acadia,1033,7023,7202,6806,7025,6955,6474,4867,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,4,14,2000_04_14_0000000000000000014e,1073741824,46167,-7010,5615,-17885,3471,11061,2019-01-13,2007-03-15,8,false,,0,2,2,Dfb,5,7,2,16,1,DB,6,EN,64,acadia,72,320,1439,129,320,2388,1462,1745,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,4,15,2000_04_15_0000000000000000014e,1073741824,29386,9950,1659,15798,3613,11062,2019-01-13,2007-03-15,8,false,,0,2,0,Dfb,5,2,1,51,1,DB,15,EN,64,acadia,80,793,2173,453,696,2766,2295,1125,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,4,16,2000_04_16_0000000000000000014e,1073741824,39101,-7338,4658,17613,3404,11063,2019-01-13,2007-03-15,8,false,,0,2,1,Dfb,5,2,1,26,1,DB,9,EN,64,acadia,1041,6430,6561,6349,6464,5226,4379,879,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,4,17,2000_04_17_0000000000000000014e,1075576832,33537,9849,3450,15300,3633,11064,2019-01-13,2007-03-15,8,false,,0,1,0,Dfb,5,1,1,36,1,DB,15,EN,64,acadia,80,785,2266,365,651,2987,2653,1591,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,4,18,2000_04_18_0000000000000000014e,1073755137,33117,-7585,3321,17091,3358,11065,2019-01-13,2007-03-15,8,false,,0,1,0,Dfb,5,4,1,38,1,DB,12,EN,64,acadia,208,426,1691,-100,22,2227,1972,1167,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,4,19,2000_04_19_0000000000000000014e,1073741824,39948,9616,4804,14805,3672,11066,2019-01-13,2007-03-15,8,false,,0,0,1,Dfb,5,2,1,21,0,DB,9,EN,64,acadia,1041,6590,6532,6468,6615,5262,1803,1233,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,4,20,2000_04_20_0000000000000000014e,1073741824,29212,-7686,1534,16558,3333,11067,2019-01-13,2007-03-15,8,false,,0,1,0,Dfb,5,3,1,40,1,DB,15,EN,64,acadia,1553,4311,4852,4067,4254,4624,3919,1693,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,4,21,2000_04_21_0000000000000000014e,1073741824,47788,9362,5796,14318,3731,11068,2019-01-13,2007-03-15,8,false,,0,0,1,Dfb,5,7,2,8,0,DB,3,EN,64,acadia,1041,5945,6091,5624,5905,5914,5702,1625,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
